Date,PTS
10/17/2018,11
10/19/2018,2
10/21/2018,12
10/23/2018,9
10/26/2018,10
10/28/2018,10
10/30/2018,5
11/1/2018,7
11/2/2018,8
11/5/2018,6
11/8/2018,19
11/10/2018,16
11/12/2018,18
11/15/2018,9
11/17/2018,4
11/19/2018,16
11/20/2018,17
11/23/2018,8
11/25/2018,12
11/28/2018,13
11/29/2018,17
12/2/2018,8
12/3/2018,7
12/5/2018,12
12/8/2018,8
12/10/2018,16
12/11/2018,7
12/13/2018,13
12/15/2018,2
12/17/2018,24
12/20/2018,4
12/22/2018,14
12/23/2018,3
12/26/2018,13
12/28/2018,7
12/29/2018,5
1/1/2019,8
1/4/2019,3
1/6/2019,13
1/8/2019,8
1/10/2019,3
1/12/2019,7
1/14/2019,0
1/16/2019,8
1/18/2019,24
1/20/2019,7
1/22/2019,8
1/23/2019,10
1/25/2019,6
1/27/2019,17
1/28/2019,11
1/31/2019,10
2/2/2019,14
2/3/2019,19
2/5/2019,6
2/7/2019,8
2/9/2019,14
2/11/2019,10
2/13/2019,10
2/22/2019,6
2/24/2019,1
2/25/2019,0
2/27/2019,13
3/1/2019,15
3/3/2019,15
3/4/2019,14
3/8/2019,9
3/11/2019,12
3/12/2019,15
3/15/2019,17
3/17/2019,14
3/19/2019,17
3/22/2019,16
3/24/2019,10
3/26/2019,10
3/28/2019,21
3/30/2019,22
3/31/2019,6
4/3/2019,20
4/5/2019,20
4/7/2019,12
4/10/2019,8
10/23/2019,26
10/25/2019,28
10/27/2019,19
10/28/2019,22
10/30/2019,13
11/2/2019,23
11/5/2019,24
11/7/2019,21
11/9/2019,12
11/10/2019,22
11/12/2019,11
11/15/2019,24
11/18/2019,11
11/19/2019,16
11/22/2019,24
11/25/2019,12
11/27/2019,11
11/29/2019,10
12/1/2019,17
12/4/2019,16
12/6/2019,29
12/8/2019,21
12/9/2019,20
12/11/2019,14
12/14/2019,16
12/16/2019,7
12/18/2019,20
12/20/2019,32
12/22/2019,32
12/26/2019,21
12/27/2019,27
12/29/2019,32
12/31/2019,19
1/2/2020,25
1/4/2020,20
1/6/2020,14
1/7/2020,22
1/9/2020,20
1/11/2020,24
1/13/2020,20
1/15/2020,21
1/17/2020,18
1/18/2020,22
1/20/2020,13
1/22/2020,18
1/24/2020,24
1/25/2020,11
1/27/2020,16
1/29/2020,17
1/31/2020,12
2/5/2020,23
2/7/2020,21
2/9/2020,24
2/11/2020,17
2/13/2020,17
2/21/2020,11
2/23/2020,22
2/25/2020,21
2/27/2020,20
2/28/2020,11
3/3/2020,15
3/4/2020,27
3/6/2020,18
8/1/2020,19
8/3/2020,24
8/5/2020,13
8/7/2020,10
8/9/2020,18
8/12/2020,18
8/14/2020,13
12/26/2020,24
12/28/2020,23
12/29/2020,23
12/31/2020,8
1/2/2021,16
1/4/2021,18
1/6/2021,21
1/8/2021,25
1/10/2021,31
1/12/2021,20
1/13/2021,17
1/15/2021,33
1/19/2021,14
1/22/2021,30
1/24/2021,23
1/25/2021,24
1/27/2021,21
1/29/2021,24
2/1/2021,19
2/6/2021,31
2/8/2021,29
2/17/2021,22
2/19/2021,16
2/21/2021,31
2/22/2021,27
2/24/2021,42
2/26/2021,24
2/27/2021,13
3/3/2021,15
3/4/2021,33
3/11/2021,32
3/14/2021,30
3/16/2021,21
3/18/2021,19
3/22/2021,31
10/20/2021,18
10/22/2021,13
10/24/2021,29
10/26/2021,30
10/27/2021,27
10/30/2021,15
11/1/2021,28
11/4/2021,28
11/7/2021,14
11/10/2021,24
11/12/2021,22
11/14/2021,23
11/15/2021,10
11/17/2021,15
11/19/2021,17
11/20/2021,14
11/26/2021,15
11/29/2021,22
12/1/2021,39
12/6/2021,30
12/8/2021,26
12/10/2021,11
12/12/2021,18
12/15/2021,33
12/18/2021,18
12/20/2021,23
12/22/2021,27
12/23/2021,29
12/26/2021,31
12/28/2021,33
12/31/2021,23
1/5/2022,19
1/7/2022,12
1/9/2022,8
1/11/2022,32
1/13/2022,33
1/15/2022,21
1/17/2022,34
1/19/2022,13
1/21/2022,29
1/22/2022,29
1/24/2022,31
1/28/2022,10
2/24/2022,32
2/25/2022,36
2/28/2022,37
3/2/2022,29
3/4/2022,33
3/6/2022,33
3/8/2022,33
3/9/2022,8
3/13/2022,31
3/14/2022,32
3/16/2022,34
3/18/2022,26
3/21/2022,31
10/19/2022,32
10/22/2022,28
10/25/2022,33
10/27/2022,24
10/29/2022,38
11/1/2022,34
11/3/2022,37
11/5/2022,18
11/7/2022,33
11/9/2022,39
11/11/2022,20
11/13/2022,37
11/14/2022,37
11/16/2022,42
11/18/2022,15
11/21/2022,30
11/23/2022,31
11/25/2022,30
11/26/2022,32
11/28/2022,31
12/3/2022,33
12/5/2022,35
12/7/2022,26
12/10/2022,23
12/12/2022,42
12/14/2022,27
12/16/2022,35
12/19/2022,35
12/21/2022,27
12/23/2022,44
12/27/2022,28
12/29/2022,28
12/31/2022,14
1/4/2023,33
1/6/2023,30
1/8/2023,33
1/10/2023,26
1/12/2023,37
1/13/2023,21
1/15/2023,28
1/18/2023,23
1/20/2023,37
1/22/2023,34
1/25/2023,36
1/27/2023,35
1/30/2023,31
2/1/2023,24
2/4/2023,42
2/6/2023,20
2/7/2023,30
2/10/2023,44
2/13/2023,24
2/15/2023,29
2/23/2023,39
3/5/2023,38
3/7/2023,33
3/11/2023,35
3/14/2023,35
3/16/2023,29
3/19/2023,40
3/21/2023,31
3/23/2023,30
3/24/2023,27
3/26/2023,31
3/31/2023,39
4/2/2023,39
4/4/2023,32
4/6/2023,22
10/25/2023,31
10/27/2023,34
10/29/2023,7
10/30/2023,32
11/1/2023,20
11/6/2023,30
11/8/2023,43
11/10/2023,33
11/12/2023,35
11/14/2023,28
11/16/2023,24
11/18/2023,40
11/19/2023,28
11/22/2023,40
11/25/2023,31
11/28/2023,32
11/30/2023,33
12/2/2023,17
12/6/2023,33
12/8/2023,38
12/11/2023,30
12/14/2023,43
12/16/2023,25
12/18/2023,30
12/21/2023,31
12/23/2023,34
12/26/2023,34
12/27/2023,36
12/29/2023,40
12/31/2023,24
1/2/2024,36
1/3/2024,33
1/5/2024,34
1/8/2024,32
1/10/2024,28
1/11/2024,31
1/13/2024,37
1/15/2024,24
1/16/2024,19
1/18/2024,31
1/20/2024,33
1/23/2024,33
1/24/2024,32
1/26/2024,31
1/28/2024,31
1/29/2024,37
1/31/2024,34
2/2/2024,31
2/4/2024,23
2/6/2024,28
2/10/2024,25
2/11/2024,38
2/13/2024,32
2/22/2024,31
2/23/2024,30
2/25/2024,36
2/27/2024,31
2/29/2024,31
3/3/2024,35
3/4/2024,20
3/6/2024,37
3/8/2024,37
3/10/2024,23
3/12/2024,30
3/14/2024,31
3/16/2024,20
3/20/2024,31
3/22/2024,23
3/24/2024,12
3/26/2024,24
3/31/2024,19
4/9/2024,40
4/10/2024,26
4/12/2024,23
4/14/2024,15
10/24/2024,28
10/26/2024,23
10/27/2024,35
10/30/2024,18
11/1/2024,30
11/2/2024,25
11/4/2024,21
11/6/2024,28
11/8/2024,29
11/10/2024,24
11/11/2024,45
11/13/2024,29
11/15/2024,28
11/17/2024,36
11/19/2024,32
11/20/2024,28
11/25/2024,37
11/27/2024,35
11/29/2024,36
12/1/2024,32
12/3/2024,26
12/5/2024,30
12/7/2024,31
12/10/2024,39
12/14/2024,32
12/19/2024,35
12/20/2024,25
12/23/2024,41
12/26/2024,45
12/28/2024,22
12/29/2024,35
12/31/2024,40
1/2/2025,29
1/3/2025,33
1/5/2025,33
1/8/2025,31
1/10/2025,39
1/12/2025,27
1/14/2025,32
1/16/2025,40
1/19/2025,27
1/22/2025,54
1/23/2025,31
1/26/2025,35
1/29/2025,52
2/1/2025,29
2/3/2025,34
2/5/2025,50
2/7/2025,25
2/8/2025,32
2/10/2025,31
2/12/2025,32
2/13/2025,24
2/21/2025,21
2/23/2025,37
2/24/2025,39
2/26/2025,27
2/28/2025,31
3/2/2025,31
3/3/2025,51
3/5/2025,41
3/9/2025,40
3/10/2025,25
3/12/2025,34
3/15/2025,48
3/16/2025,31
3/21/2025,30
3/23/2025,26
3/25/2025,32
3/27/2025,37
3/29/2025,33
3/31/2025,27
4/2/2025,33
4/4/2025,22
4/6/2025,26
4/8/2025,42
